tcp.srcport,tcp.dstport,tcp.flags,tcp.flags_numeric,tcp.window_size_value,type_f,type_n,series_id,instance_id
54942,49155,2,1,1024,0,1,1,306
26,54942,20,7,0,0,1,1,307
2049,54942,20,7,0,0,1,1,308
88,54942,20,7,0,0,1,1,309
49154,54942,20,7,0,0,1,1,310
49152,54942,20,7,0,0,1,1,311
54942,5009,2,1,1024,0,1,1,312
54942,1028,2,1,1024,0,1,1,313
54942,444,2,1,1024,0,1,1,314
54942,1755,2,1,1024,0,1,1,315
873,54942,20,7,0,0,1,1,316
4899,54942,20,7,0,0,1,1,317
9,54942,20,7,0,0,1,1,318
427,54942,20,7,0,0,1,1,319
9999,54942,20,7,0,0,1,1,320
54942,179,2,1,1024,0,1,1,321
54942,8008,2,1,1024,0,1,1,322
54942,2121,2,1,1024,0,1,1,323
54942,8081,2,1,1024,0,1,1,324
79,54942,20,7,0,0,1,1,325
9100,54942,20,7,0,0,1,1,326
7,54942,20,7,0,0,1,1,327
54942,37,2,1,1024,0,1,1,328
54942,1027,2,1,1024,0,1,1,329
54942,2001,2,1,1024,0,1,1,330
49155,54942,20,7,0,0,1,1,331
5009,54942,20,7,0,0,1,1,332
1028,54942,20,7,0,0,1,1,333
52598,7,2,1,31337,1,0,1,334
7,52598,20,7,0,0,1,1,335
52599,7,16,2,32768,1,0,1,336
7,52599,4,6,0,0,1,1,337
52600,7,41,10,65535,1,0,1,338
7,52600,20,7,0,0,1,1,339
52854,7,2,1,31337,1,0,1,340
7,52854,20,7,0,0,1,1,341
52855,7,16,2,32768,1,0,1,342
7,52855,4,6,0,0,1,1,343
52856,7,41,10,65535,1,0,1,344
7,52856,20,7,0,0,1,1,345
52785,8888,2,1,1024,0,1,1,346
52785,23,2,1,1024,0,1,1,347
52785,110,2,1,1024,0,1,1,348
8888,52785,20,7,0,0,1,1,349
52785,199,2,1,1024,0,1,1,350
23,52785,20,7,0,0,1,1,351
52785,8080,2,1,1024,0,1,1,352
110,52785,20,7,0,0,1,1,353
199,52785,20,7,0,0,1,1,354
52785,1720,2,1,1024,0,1,1,355
52785,554,2,1,1024,0,1,1,356
8080,52785,20,7,0,0,1,1,357
1720,52785,20,7,0,0,1,1,358
52785,3389,2,1,1024,0,1,1,359
554,52785,20,7,0,0,1,1,360
52785,143,2,1,1024,0,1,1,361
3389,52785,20,7,0,0,1,1,362
52785,139,2,1,1024,0,1,1,363
143,52785,20,7,0,0,1,1,364
139,52785,20,7,0,0,1,1,365
52785,1025,2,1,1024,0,1,1,366
52785,111,2,1,1024,0,1,1,367
1025,52785,20,7,0,0,1,1,368
52785,113,2,1,1024,0,1,1,369
111,52785,20,7,0,0,1,1,370
113,52785,20,7,0,0,1,1,371
52785,443,2,1,1024,0,1,1,372
443,52785,20,7,0,0,1,1,373
52785,1723,2,1,1024,0,1,1,374
1723,52785,20,7,0,0,1,1,375
52785,80,2,1,1024,0,1,1,376
52785,21,2,1,1024,0,1,1,377
80,52785,20,7,0,0,1,1,378
52785,993,2,1,1024,0,1,1,379
21,52785,20,7,0,0,1,1,380
52785,587,2,1,1024,0,1,1,381
993,52785,20,7,0,0,1,1,382
52785,22,2,1,1024,0,1,1,383
587,52785,20,7,0,0,1,1,384
52785,3306,2,1,1024,0,1,1,385
22,52785,20,7,0,0,1,1,386
3306,52785,20,7,0,0,1,1,387
52785,5900,2,1,1024,0,1,1,388
52785,25,2,1,1024,0,1,1,389
5900,52785,20,7,0,0,1,1,390
25,52785,20,7,0,0,1,1,391
52785,445,2,1,1024,0,1,1,392
445,52785,20,7,0,0,1,1,393
52785,995,2,1,1024,0,1,1,394
995,52785,20,7,0,0,1,1,395
52785,53,2,1,1024,0,1,1,396
52785,135,2,1,1024,0,1,1,397
53,52785,20,7,0,0,1,1,398
52785,13,2,1,1024,0,1,1,399
135,52785,20,7,0,0,1,1,400
52785,10000,2,1,1024,0,1,1,401
13,52785,20,7,0,0,1,1,402
52785,1028,2,1,1024,0,1,1,403
10000,52785,20,7,0,0,1,1,404
1028,52785,20,7,0,0,1,1,405
52785,1027,2,1,1024,0,1,1,406
1027,52785,20,7,0,0,1,1,407
52785,544,2,1,1024,0,1,1,408
52785,9,2,1,1024,0,1,1,409
544,52785,20,7,0,0,1,1,410
52785,548,2,1,1024,0,1,1,411
9,52785,20,7,0,0,1,1,412
52785,1433,2,1,1024,0,1,1,413
548,52785,20,7,0,0,1,1,414
52785,444,2,1,1024,0,1,1,415
1433,52785,20,7,0,0,1,1,416
52785,106,2,1,1024,0,1,1,417
444,52785,20,7,0,0,1,1,418
52785,2001,2,1,1024,0,1,1,419
106,52785,20,7,0,0,1,1,420
52785,1900,2,1,1024,0,1,1,421
2001,52785,20,7,0,0,1,1,422
52785,37,2,1,1024,0,1,1,423
1900,52785,20,7,0,0,1,1,424
37,52785,20,7,0,0,1,1,425
52785,1026,2,1,1024,0,1,1,426
52785,88,2,1,1024,0,1,1,427
1026,52785,20,7,0,0,1,1,428
52785,873,2,1,1024,0,1,1,429
52785,49153,2,1,1024,0,1,1,430
88,52785,20,7,0,0,1,1,431
873,52785,20,7,0,0,1,1,432
49153,52785,20,7,0,0,1,1,433
52785,2049,2,1,1024,0,1,1,434
52785,79,2,1,1024,0,1,1,435
2049,52785,20,7,0,0,1,1,436
52785,5357,2,1,1024,0,1,1,437
79,52785,20,7,0,0,1,1,438
52785,8000,2,1,1024,0,1,1,439
5357,52785,20,7,0,0,1,1,440
52785,990,2,1,1024,0,1,1,441
8000,52785,20,7,0,0,1,1,442
52785,5000,2,1,1024,0,1,1,443
990,52785,20,7,0,0,1,1,444
5000,52785,20,7,0,0,1,1,445
52785,8443,2,1,1024,0,1,1,446
52785,2717,2,1,1024,0,1,1,447
8443,52785,20,7,0,0,1,1,448
52785,631,2,1,1024,0,1,1,449
2717,52785,20,7,0,0,1,1,450
52785,119,2,1,1024,0,1,1,451
52785,9100,2,1,1024,0,1,1,452
631,52785,20,7,0,0,1,1,453
119,52785,20,7,0,0,1,1,454
52785,49157,2,1,1024,0,1,1,455
